epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,4069.76,1.60729,0.99295,1.27724,0.85229,0.77522,0.85542,0.50174,1.58919,0.91211,1.28372,0.0031318,0.0031318,0.0031318
96,4111.64,1.55357,0.95365,1.25988,0.88152,0.77683,0.84891,0.50953,1.58193,0.88417,1.29355,0.00303665,0.00303665,0.00303665
97,4153.55,1.56099,0.95763,1.27358,0.9009,0.76975,0.85556,0.51658,1.55891,0.87693,1.2923,0.00294239,0.00294239,0.00294239
98,4196.05,1.53378,0.94646,1.26367,0.8843,0.78626,0.85634,0.50961,1.58797,0.87635,1.29182,0.00284906,0.00284906,0.00284906
99,4238.12,1.55078,0.94517,1.24985,0.90098,0.79835,0.85528,0.51683,1.56239,0.85965,1.27982,0.00275668,0.00275668,0.00275668
100,4280.28,1.54446,0.95985,1.257,0.86012,0.78854,0.85829,0.53144,1.53361,0.84491,1.26946,0.00266532,0.00266532,0.00266532
101,4322.37,1.5117,0.9314,1.25346,0.85714,0.82126,0.85361,0.52925,1.53037,0.83672,1.27976,0.002575,0.002575,0.002575
102,4365.12,1.5353,0.95147,1.26011,0.89102,0.78936,0.86176,0.53258,1.51566,0.85426,1.26507,0.00248577,0.00248577,0.00248577
103,4407.82,1.53107,0.95208,1.25109,0.86491,0.81224,0.85667,0.5367,1.52648,0.85628,1.27149,0.00239766,0.00239766,0.00239766
104,4452.47,1.51146,0.9384,1.23529,0.9006,0.78843,0.86497,0.53244,1.5225,0.84029,1.26785,0.00231071,0.00231071,0.00231071
105,4495.7,1.51431,0.9308,1.23327,0.90882,0.77558,0.85976,0.527,1.51718,0.83628,1.26499,0.00222497,0.00222497,0.00222497
106,4538.93,1.5022,0.90655,1.2267,0.90253,0.76988,0.86357,0.52365,1.51269,0.83986,1.24902,0.00214046,0.00214046,0.00214046
107,4582.38,1.47733,0.90031,1.21438,0.88992,0.78998,0.86972,0.5368,1.49323,0.81854,1.25046,0.00205723,0.00205723,0.00205723
108,4623.93,1.47116,0.88646,1.20336,0.87001,0.81805,0.86524,0.53501,1.48741,0.83426,1.25014,0.00197532,0.00197532,0.00197532
109,4665.72,1.51794,0.92789,1.24556,0.89545,0.80724,0.86917,0.54669,1.49886,0.82705,1.25966,0.00189475,0.00189475,0.00189475
110,4707.49,1.48508,0.8916,1.22024,0.91001,0.78818,0.86676,0.55046,1.4678,0.80766,1.23893,0.00181557,0.00181557,0.00181557
111,4749.11,1.47097,0.88538,1.21178,0.90984,0.79961,0.86906,0.56693,1.45513,0.80547,1.23311,0.0017378,0.0017378,0.0017378
112,4790.83,1.47013,0.90336,1.20714,0.84654,0.80981,0.86148,0.54072,1.46654,0.80716,1.23392,0.00166149,0.00166149,0.00166149
113,4833.04,1.45201,0.88209,1.21536,0.88764,0.79172,0.87815,0.54114,1.45553,0.79769,1.23577,0.00158667,0.00158667,0.00158667
114,4876.78,1.47399,0.88731,1.20661,0.88722,0.80992,0.8706,0.55783,1.44016,0.80981,1.22894,0.00151336,0.00151336,0.00151336
115,4920.37,1.4598,0.88965,1.21348,0.89017,0.82665,0.87741,0.55822,1.44525,0.79388,1.2258,0.00144161,0.00144161,0.00144161
116,4964.76,1.45678,0.88382,1.20595,0.88621,0.83373,0.87222,0.55087,1.43073,0.79213,1.228,0.00137143,0.00137143,0.00137143
117,5008.38,1.4534,0.88259,1.20689,0.87798,0.82266,0.87379,0.56094,1.42895,0.78128,1.22882,0.00130287,0.00130287,0.00130287
118,5051.18,1.41484,0.85193,1.1914,0.90059,0.81624,0.87682,0.56817,1.41538,0.78597,1.22124,0.00123596,0.00123596,0.00123596
119,5093.98,1.45752,0.89195,1.21137,0.89761,0.82238,0.87669,0.56061,1.42353,0.78559,1.21715,0.00117072,0.00117072,0.00117072
120,5136.11,1.39548,0.84301,1.17621,0.9064,0.81341,0.87893,0.57079,1.40053,0.77505,1.21122,0.00110718,0.00110718,0.00110718
